scenario,algorithm,algo_label,run_id,n_flows,end_mape,end_jfi_c,duration_s,change1_mape_at_change,change1_recovery_flows,change1_recovery_time_s,change1_mape_at_n10,change1_mape_at_n30,change1_mape_at_n50,change1_mape_at_n100,change1_mape_at_n200,change1_cde,change1_n_post_change,change2_mape_at_change,change2_recovery_flows,change2_recovery_time_s,change2_mape_at_n10,change2_mape_at_n30,change2_mape_at_n50,change2_mape_at_n100,change2_mape_at_n200,change2_cde,change2_n_post_change,change3_mape_at_change,change3_recovery_flows,change3_recovery_time_s,change3_mape_at_n10,change3_mape_at_n30,change3_mape_at_n50,change3_mape_at_n100,change3_mape_at_n200,change3_cde,change3_n_post_change,change4_mape_at_change,change4_recovery_flows,change4_recovery_time_s,change4_mape_at_n10,change4_mape_at_n30,change4_mape_at_n50,change4_mape_at_n100,change4_mape_at_n200,change4_cde,change4_n_post_change
frequent_changes,saintelague,Sainte-Laguë,7,312,6.5171,0.994696,153.26,29.9726,61,24.42,24.9259,15.1212,8.3333,21.1111,9.6429,14.1513,232,31.2629,62,24.59,26.0784,16.6667,9.0476,15.4167,6.5171,13.3734,152,26.3652,65,55.46,22.1653,13.8573,8.4116,6.5171,6.5171,12.4128,78,12.8268,28,21.15,9.3318,5.3525,6.5171,6.5171,6.5171,7.127,41
frequent_changes,saintelague,Sainte-Laguë,8,379,3.4301,0.998617,155.33,29.9726,58,16.72,24.9259,15.1212,8.3333,21.1111,5.8631,14.475,299,31.2629,130,49.16,26.0784,16.6667,9.0476,11.25,4.0123,14.1065,219,28.6765,70,24.38,24.1304,15.2,7.5926,16.1458,3.4301,11.7557,159,24.0741,55,16.75,20.3883,13.0699,6.5903,3.4301,3.4301,10.5081,80
frequent_changes,saintelague,Sainte-Laguë,9,318,3.8784,0.997988,148.62,29.9726,56,16.53,24.9259,15.1212,8.3333,21.1111,9.6429,14.3615,238,31.2629,63,24.34,26.0784,16.6667,9.0476,15.4167,3.8784,13.0351,158,27.3426,61,42.6,23.0716,14.631,8.6288,3.8784,3.8784,11.4111,86,12.8268,22,8.36,9.134,2.584,3.8784,3.8784,3.8784,5.3543,47
frequent_changes,saintelague,Sainte-Laguë,10,326,8.6912,0.99292,151.53,29.9726,107,54.16,24.9259,11.3131,11.8889,7.5926,22.0635,13.1764,246,33.0864,53,24.74,26.8519,14.6341,6.1594,10.8796,8.6912,13.0553,192,24.7967,45,16.35,20.074,10.8796,3.1332,15.2412,8.6912,12.7688,122,25.234,-1,-1.0,21.7888,16.0412,9.9379,8.6912,8.6912,16.0662,54
frequent_changes,saintelague,Sainte-Laguë,11,380,3.3333,0.998707,155.33,29.9726,63,24.47,24.9259,15.1212,8.3333,21.1111,5.8631,14.6267,300,31.2629,130,49.55,26.0784,16.6667,9.0476,11.25,3.8889,14.2435,220,28.6765,70,24.48,24.1304,15.2,7.5926,16.875,3.3333,11.8568,160,24.3263,56,16.53,20.6452,13.3333,6.8571,3.3333,3.3333,10.7983,80
frequent_changes,saintelague,Sainte-Laguë,12,380,3.3333,0.998707,155.21,29.9726,61,24.94,24.9259,15.1212,8.3333,21.1111,5.8631,14.6491,300,31.2629,130,48.81,26.0784,16.6667,9.0476,11.25,3.8889,14.2541,220,28.6765,70,24.46,24.1304,15.2,7.5926,16.875,3.3333,11.8389,160,24.3263,56,16.72,20.6452,13.3333,6.8571,3.3333,3.3333,10.7624,80
frequent_changes,saintelague,Sainte-Laguë,13,379,3.4301,0.998617,155.22,29.9726,61,24.43,24.9259,15.1212,8.3333,21.1111,5.8631,14.8099,299,31.2629,130,49.06,26.0784,16.6667,9.0476,11.25,4.0123,14.1577,219,28.6765,70,24.49,24.1304,15.2,7.5926,16.3194,3.4301,11.737,159,24.0741,55,16.49,20.3883,13.0699,6.5903,3.4301,3.4301,10.4709,80
frequent_changes,saintelague,Sainte-Laguë,14,380,3.3333,0.998707,154.9,29.9726,56,16.53,24.9259,15.1212,8.3333,21.1111,5.8631,14.6798,300,31.2629,130,49.2,26.0784,16.6667,9.0476,11.25,3.8889,14.2799,220,28.6765,70,24.62,24.1304,15.2,7.5926,16.875,3.3333,11.7917,160,24.3263,59,16.49,20.6452,13.3333,6.8571,3.3333,3.3333,10.6681,80
frequent_changes,saintelague,Sainte-Laguë,15,380,3.3333,0.998707,154.88,29.9726,56,16.54,24.9259,15.1212,8.3333,21.1111,5.8631,14.6817,300,31.2629,130,49.02,26.0784,16.6667,9.0476,11.25,3.8889,14.2589,220,28.6765,70,24.44,24.1304,15.2,7.5926,16.875,3.3333,11.8298,160,24.3263,59,16.5,20.6452,13.3333,6.8571,3.3333,3.3333,10.7442,80
frequent_changes,saintelague,Sainte-Laguë,16,346,1.0597,0.99986,151.38,29.9726,56,16.41,24.9259,15.1212,8.3333,21.1111,9.0327,14.0461,266,31.2629,62,24.59,26.0784,16.6667,9.0476,16.4583,1.0597,12.9477,186,26.5471,57,29.39,22.3747,14.1134,7.0076,4.2328,1.0597,12.1112,110,18.8324,40,16.51,15.0585,8.1276,1.6796,1.0597,1.0597,9.284,52
frequent_changes,saintelague,Sainte-Laguë,17,380,3.3333,0.998707,155.33,29.9726,61,24.91,24.9259,15.1212,8.3333,21.1111,5.8631,14.7444,300,31.2629,130,49.06,26.0784,16.6667,9.0476,11.25,3.8889,14.2383,220,28.6765,70,24.46,24.1304,15.2,7.5926,16.875,3.3333,11.8163,160,24.3263,57,16.51,20.6452,13.3333,6.8571,3.3333,3.3333,10.7172,80
frequent_changes,saintelague,Sainte-Laguë,18,315,4.8677,0.997207,147.64,29.9726,61,24.47,24.9259,15.1212,8.3333,21.1111,8.8095,14.5004,235,31.2629,63,24.65,26.0784,16.6667,9.0476,15.4167,4.8677,13.3305,155,27.8376,60,41.83,23.5304,15.0223,8.3037,4.8677,4.8677,11.8311,84,12.5051,21,8.01,8.8095,2.4815,4.8677,4.8677,4.8677,5.5093,45
frequent_changes,saintelague,Sainte-Laguë,19,306,11.5105,0.988821,153.21,29.9726,61,24.39,24.9259,15.1212,8.3333,21.1111,3.373,13.2445,226,31.2629,62,24.54,26.0784,16.6667,9.0476,4.2735,11.5105,12.6607,146,27.663,30,31.02,23.3264,4.5903,3.1063,11.5105,11.5105,10.2737,77,7.2025,7,0.0,3.4351,4.2947,10.4489,11.5105,11.5105,5.2599,54
frequent_changes,saintelague,Sainte-Laguë,20,380,3.3333,0.998707,155.12,29.9726,63,24.62,24.9259,15.1212,8.3333,21.1111,5.8631,14.5759,300,31.2629,130,49.37,26.0784,16.6667,9.0476,11.25,3.8889,14.2698,220,28.6765,70,24.59,24.1304,15.2,7.5926,16.875,3.3333,11.8926,160,24.3263,57,16.54,20.6452,13.3333,6.8571,3.3333,3.3333,10.8699,80
