scenario,algo,algo_label,run_id,n_qos_flows,n_decisions,n_timing,throughput_mean,throughput_std,throughput_min,throughput_max,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,jitter_mean_ms,jitter_std_ms,jitter_p95_ms,packet_loss_mean,packet_loss_max,latency_mdev_mean,latency_pre_ms,latency_post_ms,jitter_pre_ms,jitter_post_ms,throughput_pre,throughput_post,loss_pre_pct,loss_post_pct,flow_setup_mean_ms,flow_setup_std_ms,flow_setup_p50_ms,flow_setup_p95_ms,flow_setup_p99_ms,flow_setup_max_ms,end_mape,end_jfi_c,n_flows
steady,iwrr,IWRR,4,11,0,0,3.1446272727272726,0.0010422004692869236,3.1435,3.1456,15.92909090909091,3.8240794828179356,15.397,20.7265,21.8861,0.0,0.0,0.0,0.04728181818181818,0.0743,0.0,15.92909090909091,15.92909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,iwrr,IWRR,5,11,0,0,3.1453818181818183,0.0005600324665913535,3.1437,3.1456,14.929727272727273,4.780698967534121,14.992,22.630499999999998,25.858900000000002,0.0,0.0,0.0,0.020263636363636366,0.0743,0.0,14.929727272727273,14.929727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,iwrr,IWRR,6,11,0,0,3.1451727272727275,0.0007811413560821729,3.1435,3.1456,12.183272727272728,3.7288524532598255,12.732,17.4695,19.343500000000002,0.0,0.0,0.0,0.020263636363636366,0.0743,0.0,12.183272727272728,12.183272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,iwrr,IWRR,7,11,0,0,3.1448181818181817,0.0010067950951590787,3.1435,3.1456,15.710454545454546,2.917154790669715,15.351,19.493,19.618599999999997,0.0,0.0,0.0,0.02701818181818182,0.0743,0.0,15.710454545454546,15.710454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,iwrr,IWRR,8,11,0,0,3.1447727272727275,0.0009582180431310086,3.1435,3.1456,14.54509090909091,4.583519269176152,15.75,19.485,19.6058,0.0,0.0,0.0,0.033772727272727274,0.0743,0.0,14.54509090909091,14.54509090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,iwrr,IWRR,9,11,0,0,3.1453363636363636,0.0005937553827506883,3.1436,3.1456,15.153,4.854066707411427,15.943,21.912,23.732000000000003,0.0,0.0,0.0,0.020263636363636366,0.0743,0.0,15.153,15.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,iwrr,IWRR,10,11,0,0,3.145209090909091,0.000772598919821325,3.1436,3.1456,14.095181818181818,4.546495855451356,15.095,19.177999999999997,19.348399999999998,0.0,0.0,0.0,0.02701818181818182,0.0743,0.0,14.095181818181818,14.095181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,iwrr,IWRR,11,11,0,0,3.1445545454545454,0.0009448424592107162,3.1437,3.1456,17.83109090909091,3.702091583268719,19.14,21.655,23.0438,0.0,0.0,0.0,0.04728181818181818,0.0743,0.0,17.83109090909091,17.83109090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,iwrr,IWRR,12,11,0,0,3.144990909090909,0.0008949352439752429,3.1436,3.1456,13.289363636363637,5.030440781337701,13.822,19.4265,19.4765,0.0,0.0,0.0,0.02701818181818182,0.0743,0.0,13.289363636363637,13.289363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,iwrr,IWRR,13,11,0,0,3.1453363636363636,0.0006103650174653788,3.1435,3.1456,13.98409090909091,3.8393841291161643,14.595,18.2135,19.2347,0.0,0.0,0.0,0.02701818181818182,0.0743,0.0,13.98409090909091,13.98409090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
